Lat,Lon,FishSp,HabitatType
40.5,-69.5,pollachius virens,mud
40.5,-69.5,pollachius virens,rock
40.5,-69.5,pollachius virens,seagrass
40.5,-69.5,pollachius virens,macroalgae
42.5,-68.5,pollachius virens,sand
42.5,-68.5,pollachius virens,mud
42.5,-68.5,pollachius virens,rock
42.5,-68.5,pollachius virens,seagrass
42.5,-68.5,pollachius virens,macroalgae
37.5,-74.5,urophycis tenuis,
39.5,-72.5,urophycis tenuis,
40.5,-69.5,urophycis tenuis,
42.5,-68.5,urophycis tenuis,
37.5,-74.5,urophycis tenuis,sand
37.5,-74.5,urophycis tenuis,mud
37.5,-74.5,urophycis tenuis,seagrass
39.5,-72.5,urophycis tenuis,sand
39.5,-72.5,urophycis tenuis,mud
39.5,-72.5,urophycis tenuis,seagrass
40.5,-69.5,urophycis tenuis,sand
40.5,-69.5,urophycis tenuis,mud
40.5,-69.5,urophycis tenuis,seagrass
42.5,-68.5,urophycis tenuis,sand
42.5,-68.5,urophycis tenuis,mud
42.5,-68.5,urophycis tenuis,seagrass
37.5,-74.5,urophycis tenuis,rock
37.5,-74.5,urophycis tenuis,soft-sediment
39.5,-72.5,urophycis tenuis,rock
39.5,-72.5,urophycis tenuis,soft-sediment
40.5,-69.5,urophycis tenuis,rock
40.5,-69.5,urophycis tenuis,soft-sediment
42.5,-68.5,urophycis tenuis,rock
42.5,-68.5,urophycis tenuis,soft-sediment
37.5,-74.5,hippoglossoides platessoides,
39.5,-72.5,hippoglossoides platessoides,
40.5,-69.5,hippoglossoides platessoides,
42.5,-68.5,hippoglossoides platessoides,
37.5,-74.5,hippoglossoides platessoides,mud
37.5,-74.5,hippoglossoides platessoides,sand
39.5,-72.5,hippoglossoides platessoides,mud
39.5,-72.5,hippoglossoides platessoides,sand
40.5,-69.5,hippoglossoides platessoides,mud
40.5,-69.5,hippoglossoides platessoides,sand
42.5,-68.5,hippoglossoides platessoides,mud
42.5,-68.5,hippoglossoides platessoides,sand
37.5,-74.5,hippoglossus hippoglossus,
39.5,-72.5,hippoglossus hippoglossus,
40.5,-69.5,hippoglossus hippoglossus,
42.5,-68.5,hippoglossus hippoglossus,
37.5,-74.5,hippoglossus hippoglossus,sand
39.5,-72.5,hippoglossus hippoglossus,sand
40.5,-69.5,hippoglossus hippoglossus,sand
42.5,-68.5,hippoglossus hippoglossus,sand
37.5,-74.5,hippoglossus hippoglossus,rock
39.5,-72.5,hippoglossus hippoglossus,rock
40.5,-69.5,hippoglossus hippoglossus,rock
42.5,-68.5,hippoglossus hippoglossus,rock
37.5,-74.5,pseudopleuronectes americanus,mud
37.5,-74.5,pseudopleuronectes americanus,sand
37.5,-74.5,pseudopleuronectes americanus,rock
37.5,-74.5,pseudopleuronectes americanus,macroalgae
39.5,-72.5,pseudopleuronectes americanus,mud
39.5,-72.5,pseudopleuronectes americanus,sand
39.5,-72.5,pseudopleuronectes americanus,rock
39.5,-72.5,pseudopleuronectes americanus,macroalgae
40.5,-69.5,pseudopleuronectes americanus,mud
40.5,-69.5,pseudopleuronectes americanus,sand
40.5,-69.5,pseudopleuronectes americanus,rock
40.5,-69.5,pseudopleuronectes americanus,macroalgae
42.5,-68.5,pseudopleuronectes americanus,mud
42.5,-68.5,pseudopleuronectes americanus,sand
42.5,-68.5,pseudopleuronectes americanus,rock
42.5,-68.5,pseudopleuronectes americanus,macroalgae
37.5,-74.5,pseudopleuronectes americanus,
39.5,-72.5,pseudopleuronectes americanus,
40.5,-69.5,pseudopleuronectes americanus,
42.5,-68.5,pseudopleuronectes americanus,
37.5,-74.5,pseudopleuronectes americanus,seagrass
39.5,-72.5,pseudopleuronectes americanus,seagrass
40.5,-69.5,pseudopleuronectes americanus,seagrass
42.5,-68.5,pseudopleuronectes americanus,seagrass
37.5,-74.5,pseudopleuronectes americanus,soft-sediment
39.5,-72.5,pseudopleuronectes americanus,soft-sediment
40.5,-69.5,pseudopleuronectes americanus,soft-sediment
42.5,-68.5,pseudopleuronectes americanus,soft-sediment
37.5,-74.5,scophthalmus aquosus,
39.5,-72.5,scophthalmus aquosus,
40.5,-69.5,scophthalmus aquosus,
42.5,-68.5,scophthalmus aquosus,
37.5,-74.5,scophthalmus aquosus,sand
37.5,-74.5,scophthalmus aquosus,mud
39.5,-72.5,scophthalmus aquosus,sand
39.5,-72.5,scophthalmus aquosus,mud
40.5,-69.5,scophthalmus aquosus,sand
40.5,-69.5,scophthalmus aquosus,mud
42.5,-68.5,scophthalmus aquosus,sand
42.5,-68.5,scophthalmus aquosus,mud
37.5,-74.5,glyptocephalus cynoglossus,
39.5,-72.5,glyptocephalus cynoglossus,
40.5,-69.5,glyptocephalus cynoglossus,
42.5,-68.5,glyptocephalus cynoglossus,
37.5,-74.5,glyptocephalus cynoglossus,mud
37.5,-74.5,glyptocephalus cynoglossus,soft-sediment
39.5,-72.5,glyptocephalus cynoglossus,mud
39.5,-72.5,glyptocephalus cynoglossus,soft-sediment
40.5,-69.5,glyptocephalus cynoglossus,mud
40.5,-69.5,glyptocephalus cynoglossus,soft-sediment
42.5,-68.5,glyptocephalus cynoglossus,mud
42.5,-68.5,glyptocephalus cynoglossus,soft-sediment
37.5,-74.5,limanda ferruginea,
39.5,-72.5,limanda ferruginea,
40.5,-69.5,limanda ferruginea,
42.5,-68.5,limanda ferruginea,
37.5,-74.5,limanda ferruginea,sand
37.5,-74.5,limanda ferruginea,mud
37.5,-74.5,limanda ferruginea,soft-sediment
39.5,-72.5,limanda ferruginea,sand
39.5,-72.5,limanda ferruginea,mud
39.5,-72.5,limanda ferruginea,soft-sediment
40.5,-69.5,limanda ferruginea,sand
40.5,-69.5,limanda ferruginea,mud
40.5,-69.5,limanda ferruginea,soft-sediment
42.5,-68.5,limanda ferruginea,sand
42.5,-68.5,limanda ferruginea,mud
42.5,-68.5,limanda ferruginea,soft-sediment
37.5,-74.5,sebastes fasciatus,
39.5,-72.5,sebastes fasciatus,
40.5,-69.5,sebastes fasciatus,
42.5,-68.5,sebastes fasciatus,
37.5,-74.5,sebastes fasciatus,mud
37.5,-74.5,sebastes fasciatus,reef
37.5,-74.5,sebastes fasciatus,rock
37.5,-74.5,sebastes fasciatus,coral
37.5,-74.5,sebastes fasciatus,soft-sediment
39.5,-72.5,sebastes fasciatus,mud
39.5,-72.5,sebastes fasciatus,reef
39.5,-72.5,sebastes fasciatus,rock
39.5,-72.5,sebastes fasciatus,coral
39.5,-72.5,sebastes fasciatus,soft-sediment
40.5,-69.5,sebastes fasciatus,mud
40.5,-69.5,sebastes fasciatus,reef
40.5,-69.5,sebastes fasciatus,rock
40.5,-69.5,sebastes fasciatus,coral
40.5,-69.5,sebastes fasciatus,soft-sediment
42.5,-68.5,sebastes fasciatus,mud
42.5,-68.5,sebastes fasciatus,reef
42.5,-68.5,sebastes fasciatus,rock
42.5,-68.5,sebastes fasciatus,coral
42.5,-68.5,sebastes fasciatus,soft-sediment
37.5,-74.5,zoarces americanus,rock
39.5,-72.5,zoarces americanus,
40.5,-69.5,zoarces americanus,
42.5,-68.5,zoarces americanus,
37.5,-74.5,zoarces americanus,soft-sediment
37.5,-74.5,zoarces americanus,sand
37.5,-74.5,zoarces americanus,macroalgae
39.5,-72.5,zoarces americanus,rock
39.5,-72.5,zoarces americanus,soft-sediment
39.5,-72.5,zoarces americanus,sand
39.5,-72.5,zoarces americanus,macroalgae
40.5,-69.5,zoarces americanus,rock
40.5,-69.5,zoarces americanus,soft-sediment
40.5,-69.5,zoarces americanus,sand
40.5,-69.5,zoarces americanus,macroalgae
42.5,-68.5,zoarces americanus,rock
42.5,-68.5,zoarces americanus,soft-sediment
42.5,-68.5,zoarces americanus,sand
42.5,-68.5,zoarces americanus,macroalgae
37.5,-74.5,zoarces americanus,reef
37.5,-74.5,zoarces americanus,mud
39.5,-72.5,zoarces americanus,reef
39.5,-72.5,zoarces americanus,mud
40.5,-69.5,zoarces americanus,reef
40.5,-69.5,zoarces americanus,mud
42.5,-68.5,zoarces americanus,reef
42.5,-68.5,zoarces americanus,mud
37.5,-74.5,merluccius bilinearis,
39.5,-72.5,merluccius bilinearis,
40.5,-69.5,merluccius bilinearis,
42.5,-68.5,merluccius bilinearis,
37.5,-74.5,merluccius bilinearis,sand
37.5,-74.5,merluccius bilinearis,mud
37.5,-74.5,merluccius bilinearis,soft-sediment
39.5,-72.5,merluccius bilinearis,sand
39.5,-72.5,merluccius bilinearis,mud
39.5,-72.5,merluccius bilinearis,soft-sediment
40.5,-69.5,merluccius bilinearis,sand
40.5,-69.5,merluccius bilinearis,mud
40.5,-69.5,merluccius bilinearis,soft-sediment
42.5,-68.5,merluccius bilinearis,sand
42.5,-68.5,merluccius bilinearis,mud
42.5,-68.5,merluccius bilinearis,soft-sediment
37.5,-74.5,merluccius bilinearis,rock
39.5,-72.5,merluccius bilinearis,rock
40.5,-69.5,merluccius bilinearis,rock
42.5,-68.5,merluccius bilinearis,rock
37.5,-74.5,lophius americanus,
39.5,-72.5,lophius americanus,
40.5,-69.5,lophius americanus,
42.5,-68.5,lophius americanus,
37.5,-74.5,lophius americanus,sand
37.5,-74.5,lophius americanus,mud
37.5,-74.5,lophius americanus,rock
37.5,-74.5,lophius americanus,soft-sediment
39.5,-72.5,lophius americanus,sand
39.5,-72.5,lophius americanus,mud
39.5,-72.5,lophius americanus,rock
39.5,-72.5,lophius americanus,soft-sediment
40.5,-69.5,lophius americanus,sand
40.5,-69.5,lophius americanus,mud
40.5,-69.5,lophius americanus,rock
40.5,-69.5,lophius americanus,soft-sediment
42.5,-68.5,lophius americanus,sand
42.5,-68.5,lophius americanus,mud
42.5,-68.5,lophius americanus,rock
42.5,-68.5,lophius americanus,soft-sediment
37.5,-74.5,leucoraja ocellata,sand
37.5,-74.5,leucoraja ocellata,mud
37.5,-74.5,leucoraja ocellata,rock
39.5,-72.5,leucoraja ocellata,sand
39.5,-72.5,leucoraja ocellata,mud
39.5,-72.5,leucoraja ocellata,rock
40.5,-69.5,leucoraja ocellata,sand
40.5,-69.5,leucoraja ocellata,mud
40.5,-69.5,leucoraja ocellata,rock
42.5,-68.5,leucoraja ocellata,sand
42.5,-68.5,leucoraja ocellata,mud
42.5,-68.5,leucoraja ocellata,rock
37.5,-74.5,leucoraja erinacea,sand
39.5,-72.5,leucoraja erinacea,sand
40.5,-69.5,leucoraja erinacea,sand
42.5,-68.5,leucoraja erinacea,sand
37.5,-74.5,leucoraja erinacea,soft-sediment
37.5,-74.5,leucoraja erinacea,mud
37.5,-74.5,leucoraja erinacea,rock
39.5,-72.5,leucoraja erinacea,soft-sediment
39.5,-72.5,leucoraja erinacea,mud
39.5,-72.5,leucoraja erinacea,rock
40.5,-69.5,leucoraja erinacea,soft-sediment
40.5,-69.5,leucoraja erinacea,mud
40.5,-69.5,leucoraja erinacea,rock
42.5,-68.5,leucoraja erinacea,soft-sediment
42.5,-68.5,leucoraja erinacea,mud
42.5,-68.5,leucoraja erinacea,rock
37.5,-74.5,malacoraja senta,sand
37.5,-74.5,malacoraja senta,mud
37.5,-74.5,malacoraja senta,rock
39.5,-72.5,malacoraja senta,sand
39.5,-72.5,malacoraja senta,mud
39.5,-72.5,malacoraja senta,rock
40.5,-69.5,malacoraja senta,sand
40.5,-69.5,malacoraja senta,mud
40.5,-69.5,malacoraja senta,rock
42.5,-68.5,malacoraja senta,sand
42.5,-68.5,malacoraja senta,mud
42.5,-68.5,malacoraja senta,rock
37.5,-74.5,amblyraja radiata,sand
37.5,-74.5,amblyraja radiata,mud
37.5,-74.5,amblyraja radiata,soft-sediment
37.5,-74.5,amblyraja radiata,rock
39.5,-72.5,amblyraja radiata,sand
39.5,-72.5,amblyraja radiata,mud
39.5,-72.5,amblyraja radiata,soft-sediment
39.5,-72.5,amblyraja radiata,rock
40.5,-69.5,amblyraja radiata,sand
40.5,-69.5,amblyraja radiata,mud
40.5,-69.5,amblyraja radiata,soft-sediment
40.5,-69.5,amblyraja radiata,rock
42.5,-68.5,amblyraja radiata,sand
42.5,-68.5,amblyraja radiata,mud
42.5,-68.5,amblyraja radiata,soft-sediment
42.5,-68.5,amblyraja radiata,rock
37.5,-74.5,dipturus laevis,mud
37.5,-74.5,dipturus laevis,sand
37.5,-74.5,dipturus laevis,rock
39.5,-72.5,dipturus laevis,mud
39.5,-72.5,dipturus laevis,sand
39.5,-72.5,dipturus laevis,rock
40.5,-69.5,dipturus laevis,mud
40.5,-69.5,dipturus laevis,sand
40.5,-69.5,dipturus laevis,rock
42.5,-68.5,dipturus laevis,mud
42.5,-68.5,dipturus laevis,sand
42.5,-68.5,dipturus laevis,rock
37.5,-74.5,leucoraja garmani,sand
37.5,-74.5,leucoraja garmani,mud
39.5,-72.5,leucoraja garmani,sand
39.5,-72.5,leucoraja garmani,mud
40.5,-69.5,leucoraja garmani,sand
40.5,-69.5,leucoraja garmani,mud
42.5,-68.5,leucoraja garmani,sand
42.5,-68.5,leucoraja garmani,mud
37.5,-74.5,raja eglanteria,rock
37.5,-74.5,raja eglanteria,soft-sediment
39.5,-72.5,raja eglanteria,rock
39.5,-72.5,raja eglanteria,soft-sediment
40.5,-69.5,raja eglanteria,rock
40.5,-69.5,raja eglanteria,soft-sediment
42.5,-68.5,raja eglanteria,rock
42.5,-68.5,raja eglanteria,soft-sediment
37.5,-74.5,placopecten magellanicus,rock
39.5,-72.5,placopecten magellanicus,rock
40.5,-69.5,placopecten magellanicus,rock
42.5,-68.5,placopecten magellanicus,rock
37.5,-74.5,placopecten magellanicus,sand
39.5,-72.5,placopecten magellanicus,sand
40.5,-69.5,placopecten magellanicus,sand
42.5,-68.5,placopecten magellanicus,sand
37.5,-74.5,clupea harengus,rock
37.5,-74.5,clupea harengus,macroalgae
39.5,-72.5,clupea harengus,rock
39.5,-72.5,clupea harengus,macroalgae
40.5,-69.5,clupea harengus,rock
40.5,-69.5,clupea harengus,macroalgae
42.5,-68.5,clupea harengus,rock
42.5,-68.5,clupea harengus,macroalgae
37.5,-74.5,clupea harengus,
39.5,-72.5,clupea harengus,
40.5,-69.5,clupea harengus,
42.5,-68.5,clupea harengus,
20,-150,xiphias gladius,
20,-160,xiphias gladius,
27,-170,xiphias gladius,
30,-180,xiphias gladius,
18,-168,xiphias gladius,
5,-163,xiphias gladius,
-1,-160,xiphias gladius,
1,-178,xiphias gladius,
20,167,xiphias gladius,
20,152,xiphias gladius,
15,152,xiphias gladius,
20,-150,carcharhinus obscurus,
20,-160,carcharhinus obscurus,
27,-170,carcharhinus obscurus,
30,-180,carcharhinus obscurus,
1,-178,carcharhinus plumbeus,
20,167,carcharhinus plumbeus,
20,152,carcharhinus plumbeus,
15,152,carcharhinus plumbeus,
20,-150,carcharhinus plumbeus,
20,-160,carcharhinus plumbeus,
27,-170,carcharhinus plumbeus,
30,-180,carcharhinus plumbeus,
1,-178,isurus oxyrinchus,
20,167,isurus oxyrinchus,
20,152,isurus oxyrinchus,
15,152,isurus oxyrinchus,
20,-150,isurus oxyrinchus,
20,-160,isurus oxyrinchus,
27,-170,isurus oxyrinchus,
30,-180,isurus oxyrinchus,
20,-150,thunnus alalunga,
20,-160,thunnus alalunga,
27,-170,thunnus alalunga,
30,-180,thunnus alalunga,
18,-168,thunnus alalunga,
5,-163,thunnus alalunga,
-1,-160,thunnus alalunga,
1,-178,thunnus alalunga,
20,167,thunnus alalunga,
20,152,thunnus alalunga,
15,152,thunnus alalunga,
20,-150,thunnus obesus,
20,-160,thunnus obesus,
27,-170,thunnus obesus,
30,-180,thunnus obesus,
18,-168,thunnus obesus,
5,-163,thunnus obesus,
-1,-160,thunnus obesus,
1,-178,thunnus obesus,
20,167,thunnus obesus,
20,152,thunnus obesus,
15,152,thunnus obesus,
20,-150,thunnus albacares,
20,-160,thunnus albacares,
27,-170,thunnus albacares,
30,-180,thunnus albacares,
18,-168,thunnus albacares,
5,-163,thunnus albacares,
-1,-160,thunnus albacares,
1,-178,thunnus albacares,
20,167,thunnus albacares,
20,152,thunnus albacares,
15,152,thunnus albacares,
20,-150,thunnus thynnus,
20,-160,thunnus thynnus,
27,-170,thunnus thynnus,
30,-180,thunnus thynnus,
18,-168,thunnus thynnus,
5,-163,thunnus thynnus,
-1,-160,thunnus thynnus,
1,-178,thunnus thynnus,
20,167,thunnus thynnus,
20,152,thunnus thynnus,
15,152,thunnus thynnus,
20,-150,katsuwonus pelamis,
20,-160,katsuwonus pelamis,
27,-170,katsuwonus pelamis,
30,-180,katsuwonus pelamis,
18,-168,katsuwonus pelamis,
5,-163,katsuwonus pelamis,
-1,-160,katsuwonus pelamis,
1,-178,katsuwonus pelamis,
20,167,katsuwonus pelamis,
20,152,katsuwonus pelamis,
15,152,katsuwonus pelamis,
20,-150,seriola dumerili,sand
20,-150,seriola dumerili,reef
20,-160,seriola dumerili,sand
20,-160,seriola dumerili,reef
27,-170,seriola dumerili,sand
27,-170,seriola dumerili,reef
30,-180,seriola dumerili,sand
30,-180,seriola dumerili,reef
18,-168,seriola dumerili,sand
18,-168,seriola dumerili,reef
5,-163,seriola dumerili,sand
5,-163,seriola dumerili,reef
-1,-160,seriola dumerili,sand
-1,-160,seriola dumerili,reef
1,-178,seriola dumerili,sand
1,-178,seriola dumerili,reef
20,167,seriola dumerili,sand
20,167,seriola dumerili,reef
20,152,seriola dumerili,sand
20,152,seriola dumerili,reef
15,152,seriola dumerili,sand
15,152,seriola dumerili,reef
20,-150,seriola dumerili,rock
20,-160,seriola dumerili,rock
27,-170,seriola dumerili,rock
30,-180,seriola dumerili,rock
18,-168,seriola dumerili,rock
5,-163,seriola dumerili,rock
-1,-160,seriola dumerili,rock
1,-178,seriola dumerili,rock
20,167,seriola dumerili,rock
20,152,seriola dumerili,rock
15,152,seriola dumerili,rock
-50.62,170.15,hoplostethus atlanticus,coral
-50.62,170.15,hoplostethus atlanticus,rock
-48.33,179.82,hoplostethus atlanticus,coral
-48.33,179.82,hoplostethus atlanticus,rock
-43.76,178.77,hoplostethus atlanticus,coral
-43.76,178.77,hoplostethus atlanticus,rock
-47.46,148.18,hoplostethus atlanticus,coral
-47.46,148.18,hoplostethus atlanticus,rock
-43.94,150.47,hoplostethus atlanticus,coral
-43.94,150.47,hoplostethus atlanticus,rock
-38.84,169.27,hoplostethus atlanticus,coral
-38.84,169.27,hoplostethus atlanticus,rock
-36.21,165.94,hoplostethus atlanticus,coral
-36.21,165.94,hoplostethus atlanticus,rock
-33.51,162.77,hoplostethus atlanticus,coral
-33.51,162.77,hoplostethus atlanticus,rock
-32.51,167.34,hoplostethus atlanticus,coral
-32.51,167.34,hoplostethus atlanticus,rock
-30.76,172.62,hoplostethus atlanticus,coral
-30.76,172.62,hoplostethus atlanticus,rock
-36.38,-179.64,hoplostethus atlanticus,coral
-36.38,-179.64,hoplostethus atlanticus,rock
-26.01,167.69,hoplostethus atlanticus,coral
-26.01,167.69,hoplostethus atlanticus,rock
-38.67,-167.34,hoplostethus atlanticus,coral
-38.67,-167.34,hoplostethus atlanticus,rock
-50.62,170.15,allocyttus niger,coral
-50.62,170.15,allocyttus niger,rock
-48.33,179.82,allocyttus niger,coral
-48.33,179.82,allocyttus niger,rock
-43.76,178.77,allocyttus niger,coral
-43.76,178.77,allocyttus niger,rock
-47.46,148.18,allocyttus niger,coral
-47.46,148.18,allocyttus niger,rock
-43.94,150.47,allocyttus niger,coral
-43.94,150.47,allocyttus niger,rock
-38.84,169.27,allocyttus niger,coral
-38.84,169.27,allocyttus niger,rock
-36.21,165.94,allocyttus niger,coral
-36.21,165.94,allocyttus niger,rock
-33.51,162.77,allocyttus niger,coral
-33.51,162.77,allocyttus niger,rock
-32.51,167.34,allocyttus niger,coral
-32.51,167.34,allocyttus niger,rock
-30.76,172.62,allocyttus niger,coral
-30.76,172.62,allocyttus niger,rock
-36.38,-179.64,allocyttus niger,coral
-36.38,-179.64,allocyttus niger,rock
-26.01,167.69,allocyttus niger,coral
-26.01,167.69,allocyttus niger,rock
-38.67,-167.34,allocyttus niger,coral
-38.67,-167.34,allocyttus niger,rock
-50.62,170.15,pseudocyttus maculatus,coral
-50.62,170.15,pseudocyttus maculatus,rock
-48.33,179.82,pseudocyttus maculatus,coral
-48.33,179.82,pseudocyttus maculatus,rock
-43.76,178.77,pseudocyttus maculatus,coral
-43.76,178.77,pseudocyttus maculatus,rock
-47.46,148.18,pseudocyttus maculatus,coral
-47.46,148.18,pseudocyttus maculatus,rock
-43.94,150.47,pseudocyttus maculatus,coral
-43.94,150.47,pseudocyttus maculatus,rock
-38.84,169.27,pseudocyttus maculatus,coral
-38.84,169.27,pseudocyttus maculatus,rock
-36.21,165.94,pseudocyttus maculatus,coral
-36.21,165.94,pseudocyttus maculatus,rock
-33.51,162.77,pseudocyttus maculatus,coral
-33.51,162.77,pseudocyttus maculatus,rock
-32.51,167.34,pseudocyttus maculatus,coral
-32.51,167.34,pseudocyttus maculatus,rock
-30.76,172.62,pseudocyttus maculatus,coral
-30.76,172.62,pseudocyttus maculatus,rock
-36.38,-179.64,pseudocyttus maculatus,coral
-36.38,-179.64,pseudocyttus maculatus,rock
-26.01,167.69,pseudocyttus maculatus,coral
-26.01,167.69,pseudocyttus maculatus,rock
-38.67,-167.34,pseudocyttus maculatus,coral
-38.67,-167.34,pseudocyttus maculatus,rock
-33.66,-78.79,hoplostethus atlanticus,coral
-33.66,-78.79,hoplostethus atlanticus,rock
-25.83,5.62,hoplostethus atlanticus,coral
-25.83,5.62,hoplostethus atlanticus,rock
-30.76,3.16,hoplostethus atlanticus,coral
-30.76,3.16,hoplostethus atlanticus,rock
-39.72,6.32,hoplostethus atlanticus,coral
-39.72,6.32,hoplostethus atlanticus,rock
-33.57,44.47,hoplostethus atlanticus,coral
-33.57,44.47,hoplostethus atlanticus,rock
-33.04,34.98,hoplostethus atlanticus,coral
-33.04,34.98,hoplostethus atlanticus,rock
-37,52.64,hoplostethus atlanticus,coral
-37,52.64,hoplostethus atlanticus,rock
-33.31,56.33,hoplostethus atlanticus,coral
-33.31,56.33,hoplostethus atlanticus,rock
-29.7,61.17,hoplostethus atlanticus,coral
-29.7,61.17,hoplostethus atlanticus,rock
-25.92,68.46,hoplostethus atlanticus,coral
-25.92,68.46,hoplostethus atlanticus,rock
33.22,-29.26,hoplostethus atlanticus,coral
33.22,-29.26,hoplostethus atlanticus,rock
37.97,-30.06,hoplostethus atlanticus,coral
37.97,-30.06,hoplostethus atlanticus,rock
41.92,-29.28,hoplostethus atlanticus,coral
41.92,-29.28,hoplostethus atlanticus,rock
45.7,-27.68,hoplostethus atlanticus,coral
45.7,-27.68,hoplostethus atlanticus,rock
51.41,-30.14,hoplostethus atlanticus,coral
51.41,-30.14,hoplostethus atlanticus,rock
53.39,-34.89,hoplostethus atlanticus,coral
53.39,-34.89,hoplostethus atlanticus,rock
56.55,-34.71,hoplostethus atlanticus,coral
56.55,-34.71,hoplostethus atlanticus,rock
58.92,-30.76,hoplostethus atlanticus,coral
58.92,-30.76,hoplostethus atlanticus,rock
60.47,-28.96,hoplostethus atlanticus,coral
60.47,-28.96,hoplostethus atlanticus,rock
62.58,-26.76,hoplostethus atlanticus,coral
62.58,-26.76,hoplostethus atlanticus,rock
-61.87,-44.85,dissostichus eleginoides,coral
-61.87,-44.85,dissostichus eleginoides,rock
-58.44,-26.28,dissostichus eleginoides,coral
-58.44,-26.28,dissostichus eleginoides,rock
-50.97,0.7,dissostichus eleginoides,coral
-50.97,0.7,dissostichus eleginoides,rock
-52.91,44.64,dissostichus eleginoides,coral
-52.91,44.64,dissostichus eleginoides,rock
-47.81,67.68,dissostichus eleginoides,coral
-47.81,67.68,dissostichus eleginoides,rock
-52.03,74,dissostichus eleginoides,coral
-52.03,74,dissostichus eleginoides,rock
-61.87,-44.85,dissostichus mawsoni,coral
-61.87,-44.85,dissostichus mawsoni,rock
-58.44,-26.28,dissostichus mawsoni,coral
-58.44,-26.28,dissostichus mawsoni,rock
-50.97,0.7,dissostichus mawsoni,coral
-50.97,0.7,dissostichus mawsoni,rock
-52.91,44.64,dissostichus mawsoni,coral
-52.91,44.64,dissostichus mawsoni,rock
-47.81,67.68,dissostichus mawsoni,coral
-47.81,67.68,dissostichus mawsoni,rock
-52.03,74,dissostichus mawsoni,coral
-52.03,74,dissostichus mawsoni,rock
41,-68,arctica islandica,sand
41,-68,arctica islandica,mud
41,-68,arctica islandica,soft-sediment
40,-72,arctica islandica,sand
40,-72,arctica islandica,mud
40,-72,arctica islandica,soft-sediment
38,-73,arctica islandica,sand
38,-73,arctica islandica,mud
38,-73,arctica islandica,soft-sediment
37,-75,arctica islandica,sand
37,-75,arctica islandica,mud
37,-75,arctica islandica,soft-sediment
43.5,-67.17,arctica islandica,sand
43.5,-67.17,arctica islandica,mud
43.5,-67.17,arctica islandica,soft-sediment
44.2,-62.02,arctica islandica,sand
44.2,-62.02,arctica islandica,mud
44.2,-62.02,arctica islandica,soft-sediment
66.57,-13.66,arctica islandica,sand
66.57,-13.66,arctica islandica,mud
66.57,-13.66,arctica islandica,soft-sediment
40,-72,arctica islandica,
38,-73,arctica islandica,
37,-75,arctica islandica,
43.5,-67.17,arctica islandica,
44.2,-62.02,arctica islandica,
66.57,-13.66,arctica islandica,
41,-68,arctica islandica,
41,-68,spisula solidissima,sand
41,-68,spisula solidissima,mud
40,-72,spisula solidissima,sand
40,-72,spisula solidissima,mud
38,-73,spisula solidissima,sand
38,-73,spisula solidissima,mud
37,-75,spisula solidissima,sand
37,-75,spisula solidissima,mud
43.5,-67.17,spisula solidissima,sand
43.5,-67.17,spisula solidissima,mud
44.2,-62.02,spisula solidissima,sand
44.2,-62.02,spisula solidissima,mud
46.8,-59.63,spisula solidissima,sand
46.8,-59.63,spisula solidissima,mud
47.15,-62.97,spisula solidissima,sand
47.15,-62.97,spisula solidissima,mud
40,-72,spisula solidissima,
38,-73,spisula solidissima,
37,-75,spisula solidissima,
43.5,-67.17,spisula solidissima,
44.2,-62.02,spisula solidissima,
46.8,-59.63,spisula solidissima,
47.15,-62.97,spisula solidissima,
41,-68,spisula solidissima,
41,-68,spisula solidissima,soft-sediment
40,-72,spisula solidissima,soft-sediment
38,-73,spisula solidissima,soft-sediment
37,-75,spisula solidissima,soft-sediment
43.5,-67.17,spisula solidissima,soft-sediment
44.2,-62.02,spisula solidissima,soft-sediment
46.8,-59.63,spisula solidissima,soft-sediment
47.15,-62.97,spisula solidissima,soft-sediment
41,-68,placopecten magellanicus,sand
41,-68,placopecten magellanicus,rock
40,-72,placopecten magellanicus,sand
40,-72,placopecten magellanicus,rock
38,-73,placopecten magellanicus,sand
38,-73,placopecten magellanicus,rock
37,-75,placopecten magellanicus,sand
37,-75,placopecten magellanicus,rock
43.5,-67.17,placopecten magellanicus,sand
43.5,-67.17,placopecten magellanicus,rock
44.2,-62.02,placopecten magellanicus,sand
44.2,-62.02,placopecten magellanicus,rock
46.8,-59.63,placopecten magellanicus,sand
46.8,-59.63,placopecten magellanicus,rock
47.15,-62.97,placopecten magellanicus,sand
47.15,-62.97,placopecten magellanicus,rock
49.82,-59.12,placopecten magellanicus,sand
49.82,-59.12,placopecten magellanicus,rock
52.82,-55.08,placopecten magellanicus,sand
52.82,-55.08,placopecten magellanicus,rock
55.85,-55.9,placopecten magellanicus,sand
55.85,-55.9,placopecten magellanicus,rock
40,-72,placopecten magellanicus,
38,-73,placopecten magellanicus,
37,-75,placopecten magellanicus,
43.5,-67.17,placopecten magellanicus,
44.2,-62.02,placopecten magellanicus,
46.8,-59.63,placopecten magellanicus,
47.15,-62.97,placopecten magellanicus,
49.82,-59.12,placopecten magellanicus,
52.82,-55.08,placopecten magellanicus,
55.85,-55.9,placopecten magellanicus,
41,-68,placopecten magellanicus,
41,-68,placopecten magellanicus,mud
41,-68,placopecten magellanicus,soft-sediment
